Alle Terme, die Fakultäten enthalten und eine Zahl darstellen, die kleiner als 100000 ist, mit Ziffer 8
n: {3}; 6=(((88/8)-8)!)
n: {8}; 37=(((8!)/(8+888))-8)
n: {8}; 42=((8!)/(8*((8*(8+8))-8)))
n: {8}; 45=((8!)/(8+888))
n: {8}; 70=((8!)/(8*(8+(8*8))))
n: {8, 10}; 90=((((88-8)/8)!)/(8!))
n: {8, 11}; 124=((((8!)+((8!)+((88/8)!)))/8)/(8!))
n: {8}; 126=((((8!)+(8!))/(88-8))/8)
n: {8}; 133=(88+((8!)/(8+888)))
n: {8}; 140=((((8!)+(8!))/(8+(8*8)))/8)
n: {8}; 141=((8+(((8!)+(8!))/(8+(8*8))))/8)
n: {8}; 146=(((8!)/(8*(8+(8+8))))-(8*8))
n: {8}; 148=(8+((((8!)+(8!))/(8+(8*8)))/8))
n: {8}; 149=(((((8!)/(8+8))-8)/(8+8))-8)
n: {8}; 150=(((8+((8!)/(8+8)))/(8+8))-8)
n: {8}; 157=((((8!)/(8+8))-8)/(8+8))
n: {8}; 158=((8+((8!)/(8+8)))/(8+8))
n: {8}; 166=(8+((8+((8!)/(8+8)))/(8+8)))
n: {8}; 172=(((((8!)+(8!))/((8*8)-8))/8)-8)
n: {8}; 179=(((((8!)+(8!))/((8*8)-8))-8)/8)
n: {8}; 180=((((8!)+(8!))/((8*8)-8))/8)
n: {8}; 181=((8+(((8!)+(8!))/((8*8)-8)))/8)
n: {8}; 182=(((8!)/(8*8))-(8*((8*8)-8)))
n: {8}; 188=(8+((((8!)+(8!))/((8*8)-8))/8))
n: {8}; 189=((((8!)+((8!)+(8!)))/(88-8))/8)
n: {8}; 194=((((8!)/(8*(8+(8+8))))-8)-8)
n: {8}; 196=(8+(8+((((8!)+(8!))/((8*8)-8))/8)))
n: {8}; 197=((8*(8*8))-((8!)/(8*(8+8))))
n: {16, 8}; 198=((((8+8)!)/((8!)+((8!)*(8*8))))/(8!))
n: {8}; 202=(((8!)/(8*(8+(8+8))))-8)
n: {8}; 203=(((8+((8!)/(8+(8+8))))/8)-8)
